kp,kd,settling_time,overshoot,rms_error,control_effort
1.0,0.1,nan,0.9415675868390535,0.41934398099101217,0.4355024400976997
1.0,0.5,nan,0.7398535080446583,0.22564118660096713,0.39719646877499104
1.0,1.0,6.811999999999472,0.5458638021740861,0.16798333887785488,0.49193992447899915
1.0,2.0,3.3419999999998535,0.28155272741494,0.13966527817351237,0.6683431403497699
5.0,0.1,nan,0.9536582632629453,0.42354345005329697,2.119097131135311
5.0,0.5,nan,0.7816161622397952,0.2255407668801214,1.1496323013904386
5.0,1.0,6.503999999999506,0.6084588533874659,0.16490942635644068,0.8803328770794828
5.0,2.0,3.4579999999998408,0.35803391686108776,0.13129279755066767,0.7849020776957817
10.0,0.1,nan,0.9628316187742502,0.43065823722596547,4.30748271768303
10.0,0.5,nan,0.8138580323939613,0.22610280836020702,2.257891406771973
10.0,1.0,6.8059999999994725,0.6588369788846931,0.16323556734971817,1.618122632397767
10.0,2.0,3.527999999999833,0.42425259134813054,0.12596586350713773,1.2150159039249167
20.0,0.1,nan,0.973599077761489,0.44082608073040824,8.81687007558493
20.0,0.5,nan,0.8515191778222759,0.22785807773946035,4.544068152726527
20.0,1.0,7.019999999999449,0.7196983480473188,0.16215327623281992,3.1955912887249345
20.0,2.0,3.393999999999848,0.5096091743497734,0.12105623892948762,2.2767099550536556
